station_id,station_name,timestamp,free_bikes,empty_slots,extra_uid,extra_last_updated,extra_slots,extra_normal_bikes,extra_ebikes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
023efce1bbb332a1b918d56aeb671890,Avenida de Arteixo,2024-12-12T20:23:47.163516Z,2.0,13.0,53,1734034840.0,15.0,1.0,1.0
02cecd02915c86d7ab8034b61b19da0e,Mercado de Monte Alto,2024-12-12T20:23:47.163364Z,0.0,13.0,43,1734034926.0,15.0,0.0,1.0
030c4027b0bea390e562645c7082db4c,Los Rosales,2024-12-12T20:23:47.162674Z,4.0,19.0,11,1734034881.0,25.0,2.0,2.0
0e3aa0134a2f3d07ae5bd093e6af9a33,Plaza de Portugal,2024-12-12T20:23:47.163549Z,7.0,13.0,55,1734034969.0,20.0,6.0,1.0
104e0797759d11ac22a61cfed357800b,Ventorrillo,2024-12-12T20:23:47.163129Z,6.0,12.0,27,1734034910.0,18.0,6.0,0.0
10af3b0e504fc241415d4047a58bfb5b,Cd Castrillón,2024-12-12T20:23:47.163063Z,1.0,14.0,23,1734034920.0,15.0,0.0,1.0
15b6693701eb534cddabc0bdd4c3b8a2, Pablo Picasso,2024-12-12T20:23:47.163094Z,8.0,9.0,25,1734034855.0,19.0,8.0,0.0
16d30b6bb080c9ceac0ab0ca3b20111a,Barrio de las Flores,2024-12-12T20:23:47.163197Z,3.0,20.0,31,1734034916.0,23.0,1.0,2.0
18b3d4c21c5cec9d8e25fa0a6cab109a,Torre de Hércules,2024-12-12T20:23:47.162565Z,0.0,14.0,5,1734034857.0,15.0,0.0,0.0
18e32269ce7f371acf5ca7f016b07a2a,Campo de Marte,2024-12-12T20:23:47.162955Z,0.0,15.0,17,1734034936.0,15.0,0.0,0.0
198820c7b5fc5681e896110c4383a4a0,Hospital Abente y Lago,2024-12-12T20:23:47.163346Z,7.0,8.0,42,1734034976.0,15.0,7.0,0.0
1a77b47ff9c828307610737e1a9046c3,Plaza de Tabacos,2024-12-12T20:23:47.162724Z,3.0,16.0,14,1734034867.0,19.0,2.0,1.0
1df27d4197c65e404466107444967600,Casa del Agua,2024-12-12T20:23:47.163582Z,9.0,5.0,57,1734034976.0,16.0,9.0,0.0
2139f0834a27ab807a5edb3420c2841e,Plaza De Pontevedra,2024-12-12T20:23:47.162515Z,5.0,19.0,3,1734034905.0,29.0,5.0,0.0
